Set Name,Set ID,Total Cards,Total Estimated Value
Guardians Rising,18,288,0
Ash vs Team Rocket Deck Kit,404,30,0
The Best of XY,365,188,0
Facing a New Trial,163,70,0
Islands Await You,164,62,0
Alolan Moonlight,165,62,0
Tapu Bulu-GX Enhanced Starter Set,465,21,0
Sun & Moon,19,307,0
Strength Expansion Pack Sun & Moon,166,73,0
Rockruff Full Power Deck,447,13,0
Collection Moon,168,73,0
Premium Trainer Box,445,27,0
Sun & Moon Starter Set,457,59,0
Collection Sun,167,73,0
Pikachu's New Friends,438,4,0
SM-P Promos,456,409,0
Sun & Moon Black Star Promo,25,247,0
Evolutions,22,196,0
Expansion Pack 20th Anniversary,185,103,0
McDonald's Promos 2016,524,12,0
Steam Siege,31,209,0
Mythical & Legendary Dream Shine Collection,186,38,0
Fever-Burst Fighter,188,59,0
Cruel Traitor,189,59,0
Fates Collide,32,222,0
M Audino-EX Mega Battle Deck,192,27,0
Awakening Psychic King,190,88,0
Zygarde-EX Perfect Battle Deck,191,20,0
Premium Champion Pack,193,140,0
BREAK Starter Pack,194,77,0
Generations Radiant Collection,169,32,0
Generations,33,152,0
BREAKpoint,34,220,0
PokéKyun Collection,187,32,0
Rage of the Broken Heavens,195,89,0
McDonald's Promos 2015,525,12,0
Golduck BREAK Palkia-EX Combo Deck,196,17,0
BREAKthrough,35,302,0
Noivern BREAK Evolution Pack,197,10,0
Raichu BREAK Evolution Pack,198,10,0
Red Flash,200,65,0
Blue Shock,199,65,0
Ancient Origins,36,172,0
M Master Deck Build Box Power Style,433,49,0
Emboar-EX vs Togekiss-EX Deck Kit,421,26,0
Legendary Shine Collection,201,27,0
Bandit Ring,202,97,0
Roaring Skies,37,196,0
Double Crisis,291,66,0
Emerald Break,204,91,0
M Rayquaza-EX Mega Battle Deck,203,20,0
Primal Clash,38,296,0
Magma Gang vs Aqua Gang: Double Crisis,205,34,0
Tidal Storm,206,80,0
Gaia Volcano,207,80,0
Xerneas-EX & Yveltal-EX Super Legend Set,208,25,0
Phantom Forces,39,225,0
Dialga-EX Aegislash-EX Hyper Metal Chain Deck,209,20,0
Phantom Gate,210,97,0
Furious Fists,40,210,0
Alternate Art Promos,174,55,0
Rising Fist,211,105,0
McDonald's Promos 2014,526,12,0
Flashfire,41,200,0
Wild Blaze,219,90,0
M Charizard-EX Mega Battle Deck,212,23,0
XY Base,42,271,0
Yveltal Half Deck,213,15,0
Xerneas Half Deck,214,15,0
Pokemon Scrap,551,56,0
Collection Y,216,63,0
Collection X,215,63,0
XY Beginning Set,217,39,0
Legendary Treasures Radiant Collection,170,25,0
Legendary Treasures,43,216,0
XY Black Star Promos,175,213,0
Plasma Blast,44,190,0
XY Promos,218,298,0
Mewtwo vs Genesect Deck Kit (Genesect),220,17,0
EX Battle Boost,221,99,0
Mewtwo vs Genesect Deck Kit (Mewtwo),435,17,0
Plasma Freeze,45,222,0
Megalo Cannon,223,86,0
Blastoise Kyurem-EX Combo Deck,222,19,0
Plasma Storm,46,257,0
Shiny Collection,224,25,0
Spiral Force,226,58,0
Thunder Knuckle,225,58,0
Everyone's Exciting Battle,227,53,0
Team Plasma Battle Gift Set,228,18,0
White Kyurem-EX Battle Strength Deck,229,20,0
Black Kyurem-EX Battle Strength Deck,230,20,0
Plasma Gale,233,79,0
Team Plasma Powered Half Deck,232,19,0
Master Deck Build Box EX,231,51,0
Dragon Vault,389,21,0
Boundaries Crossed,47,283,0
Dragons Exalted,48,240,0
Freeze Bolt,235,65,0
Cold Flare,234,65,0
McDonald's Promos 2012,528,12,0
Dark Explorers,49,207,0
National Pokedex Beginning Set,236,34,0
Keldeo Battle Strength Deck,237,18,0
Hydreigon Half Deck,239,18,0
Garchomp Half Deck,238,18,0
Dragon Blade,241,55,0
Dragon Blast,240,55,0
Next Destinies,97,190,0
Dragon Selection,242,20,0
Dark Rush,243,76,0
Beginning Set Pikachu (Oshawott),256,14,0
Beginning Set Pikachu (Tepig),413,14,0
Beginning Set Pikachu (Snivy),412,14,0
Thundurus vs Tornadus Battle Gift Set,244,26,0
Reshiram-EX Battle Strength Deck,246,20,0
Zekrom-EX Battle Strength Deck,245,20,0
Hail Blizzard,247,57,0
Noble Victories,50,198,0
Psycho Drive,248,57,0
Emerging Powers,51,194,0
Beginning Set Plus (Oshawott),255,14,0
Beginning Set Plus (Tepig),411,14,0
Beginning Set Plus (Snivy),410,14,0
Red Collection,249,72,0
McDonald's Promos 2011,529,12,0
Victini Battle Theme Deck,250,27,0
Black and White,30,219,0
Terrakion Battle Strength Deck,466,17,0
Cobalion Battle Strength Deck,251,16,0
Virizion Battle Strength Deck,481,17,0
Black and White Promos,292,118,0
Call of Legends,52,201,0
Black Collection,252,56,0
White Collection,253,56,0
Black & White Promos,258,236,0
Triumphant,53,193,0
Journey Partners,257,9,0
Undaunted,54,171,0
Clash at the Summit,259,81,0
Unleashed,55,179,0
Lost Link,260,40,0
Reviving Legends,263,81,0
Tyranitar Constructed Standard Deck,261,16,0
Steelix Constructed Standard Deck,262,19,0
HeartGold SoulSilver,80,237,0
HGSS Black Star Promo,518,25,0
Miscellaneous Promos,176,319,0
Pokemon Rumble,553,16,0
Battle Starter Deck (Raichu),406,11,0
Battle Starter Deck (Torterra),407,10,0
Leafeon VS Metagross Expert Deck Online,264,29,0
Battle Starter Deck (Blastoise),265,10,0
Battle Starter Deck (Magmortar),405,9,0
SoulSilver Collection,266,79,0
HeartGold Collection,267,79,0
Arceus,56,204,0
LEGEND Promos,431,79,0
Supreme Victors,57,293,0
Movie Commemoration Random Pack,269,30,0
Melee! Pokémon Scramble,270,19,0
Advent of Arceus,273,98,0
Arceus LV.X Deck (Lightning & Psychic),271,20,0
Arceus LV.X Deck (Grass & Fire),272,20,0
Rising Rivals,100,222,0
Collection Pack (Shaymin LV.X),274,12,0
Collection Pack (Regigigas LV.X),276,12,0
Collection Pack (Mewtwo LV.X),275,12,0
Charizard Half Deck 2009,278,16,0
Garchomp Half Deck 2009,277,16,0
Beat of the Frontier,279,108,0
Pop Series 9,398,17,0
Platinum,98,254,0
SP Deck Kit (Gallade),281,18,0
SP Deck Kit (Infernape),280,18,0
Bonds to the End of Time,282,90,0
DPt Gift Box (Pikachu),418,15,0
DPt Gift Box (Turtwig),284,14,0
DPt Gift Box (Piplup),419,15,0
DPt Gift Box (Chimchar),283,13,0
Galactic's Conquest,288,96,0
Giratina Half Deck,285,14,0
Dialga Half Deck,286,14,0
Palkia Half Deck,287,13,0
Stormfront,105,201,0
DPt-P Promos,289,51,0
Pop Series 8,397,17,0
Legends Awakened,58,285,0
11th Movie Commemoration Set,293,9,0
Intense Fight in the Destroyed Sky,296,92,0
Majestic Dawn,87,196,0
Heatran Half Deck,297,15,0
Temple of Anger,299,65,0
Cry From The Mysterious,300,65,0
Regigigas Half Deck,298,16,0
Pop Series 7,396,17,0
Great Encounters,59,208,0
Infernape Half Deck 2007,493,15,0
Torterra Half Deck 2007,494,15,0
Raichu Half Deck 2007,496,14,0
Empoleon Half Deck 2007,495,16,0
Moonlit Pursuit,307,70,0
Magmortar Half Deck,305,18,0
Electivire Half Deck,306,18,0
Dawn Dash,308,70,0
Secret Wonders,103,262,0
Pop Series 6,395,18,0
10th Movie Commemoration Set,309,11,0
Mysterious Treasures,88,244,0
Dialga LV.X Constructed Standard Deck,310,21,0
Shining Darkness,312,119,0
Palkia LV.X Constructed Standard Deck,311,22,0
World Champions Pack,313,108,0
PPP Promos,444,7,0
Diamond & Pearl,60,257,0
Diamond and Pearl Promo,113,54,0
Rampardos the Attacker,314,18,0
Secret of the Lakes,316,131,0
Bastiodon the Defender,315,18,0
Pop Series 5,394,17,0
Power Keepers,99,205,0
DP-P Promos,318,127,0
Space-Time Creation,317,122,0
Empoleon Half Deck 2006,303,16,0
Torterra Half Deck 2006,301,15,0
Infernape Half Deck 2006,302,15,0
Dragon Frontiers,61,190,0
Pop Series 4,393,17,0
Crystal Guardians,62,188,0
Shockwave Tyranitar Constructed Standard Deck,321,24,0
Imprison Gardevoir Constructed Deck,320,24,0
Movie Release Commemoration VS Pack Sea's Manaphy,319,19,0
Offense and Defense of the Furthest Ends,436,68,0
Holon Phantoms,82,215,0
Pop Series 3,392,18,0
Earth's Groudon Constructed Starter Deck,324,16,0
Miracle Crystal,325,75,0
Ocean's Kyogre Constructed Starter Deck,323,16,0
Legend Maker,85,174,0
Holon Phantom,326,52,0
Crawdaunt Quarter Deck,329,15,0
Lucario Quarter Deck,330,15,0
Mightyena Quarter Deck,328,15,0
Mew Quarter Deck,327,15,0
Delta Species,63,220,0
Holon Research Tower,331,86,0
Rocket Gang Strikes Back,355,85,0
Holon Research Tower Lightning Quarter Deck,332,15,0
Holon Research Tower Water Quarter Deck,333,15,0
Holon Research Tower: Fire Quarter Deck,334,15,0
Unseen Forces,64,245,0
Pop Series 2,391,18,0
Mirage Forest,340,86,0
Movie Commemoration VS Pack Aura's Lucario,335,20,0
Bulbasaur Quarter Deck,336,15,0
Torchic Quarter Deck,337,15,0
Side Deck,338,12,0
Mirage's Mew Constructed Starter Deck,339,16,0
Emerald,65,202,0
"Golden Sky, Silvery Ocean",341,106,0
PokéPark Forest,443,9,0
PokéPark Blue,442,9,0
Feraligatr Constructed Starter Deck,342,16,0
Meganium Constructed Starter Deck,343,16,0
Typhlosion Constructed Starter Deck,344,16,0
Deoxys,66,203,0
Psychic Quick Construction Pack,350,15,0
Lightning Quick Construction Pack,345,15,0
Grass Quick Construction Pack,346,15,0
Fire Quick Construction Pack,347,15,0
Water Quick Construction Pack,348,15,0
Fighting Quick Construction Pack,349,15,0
Rayquaza Half Deck,352,19,0
Deoxys Half Deck,351,19,0
Black Deck Kit,414,20,0
Team Rocket Returns,107,205,0
Fire Red Leaf Green,75,219,0
Pop Series 1,390,19,0
Movie Commemoration VS Pack: Sky-Splitting Deoxys,356,19,0
Deoxys Starter Deck,358,15,0
Clash of the Blue Sky,359,82,0
Rayquaza Starter Deck,357,15,0
Hidden Legends,81,194,0
Flight of Legends,360,82,0
Venusaur Starter Deck,363,32,0
Charizard Starter Deck,362,32,0
Blastoise Starter Deck,361,32,0
Team Magma vs Team Aqua,106,185,0
PCG-P Promos,364,154,0
Undone Seal,367,83,0
Magma vs Aqua: Two Ambitions,368,80,0
Nintendo Black Star Promo,519,40,0
Sandstorm,102,193,0
Dragon,67,188,0
Ruby and Sapphire,101,210,0
Rulers of the Heavens,369,54,0
Skyridge,104,332,0
Miracle of the Desert,370,53,0
ADV Expansion Pack,371,55,0
Aquapolis,68,337,0
ADV-P Promos,403,63,0
PLAY Promos,439,32,0
Mysterious Mountains,372,91,0
Expedition,74,330,0
Split Earth,373,91,0
Wind from the Sea,374,90,0
Legendary Collection,86,220,0
The Town on No Map,375,92,0
Neo Destiny,89,113,0
Neo Destiny 1st Edition,90,113,0
McDonald's Pokémon-e Minimum Pack,434,24,0
T Promos,461,24,0
Base Expansion Pack,376,128,0
Pokémon Web,441,48,0
Neo Revelation,95,66,0
Neo Revelation 1st Edition,96,66,0
J Promos,430,2,0
Southern Islands,290,18,0
Pokémon VS,440,151,0
P Promos,437,47,0
Neo Discovery,91,75,0
Neo Discovery 1st Edition,92,75,0
