Set ID,Set Name,Set Code,Series,Language,Release Date,Total Cards,Total Value (Estimated),Average Card Value
28,Base Set 1st Edition,,Base,ENGLISH,"Sun, 10 Jan 1999 00:00:00 GMT",103,16356.968385918983,158.80551830989305
480,Vending Machine (Series 3),,Original,JAPANESE,"Tue, 24 Nov 1998 00:00:00 GMT",51,922.7548373015875,18.093232103952698
382,Leaders' Stadium,,Original,JAPANESE,"Sat, 24 Oct 1998 00:00:00 GMT",96,762.8152150072151,7.945991822991824
498,Kuchiba City Gym Lt. Surge,,Original,JAPANESE,"Sat, 25 Jul 1998 00:00:00 GMT",23,133.88923437950936,5.821271059978668
499,Tamamushi City Gym Erika,,Original,JAPANESE,"Sat, 25 Jul 1998 00:00:00 GMT",28,254.39576708754208,9.08556311026936
479,Vending Machine (Series 2),,Original,JAPANESE,"Wed, 17 Jun 1998 00:00:00 GMT",36,405.27375992063503,11.257604442239861
501,Hanada City Gym Misty,,Original,JAPANESE,"Sun, 26 Apr 1998 00:00:00 GMT",22,125.42183910533912,5.700992686606323
500,Nivi City Gym Brock,,Original,JAPANESE,"Sun, 26 Apr 1998 00:00:00 GMT",25,94.19492964905464,3.767797185962186
478,Vending Machine (Series 1),,Original,JAPANESE,"Mon, 23 Mar 1998 00:00:00 GMT",35,446.88249206349195,12.768071201814056
383,Rocket Gang,,Original,JAPANESE,"Fri, 21 Nov 1997 00:00:00 GMT",65,445.57886265771276,6.855059425503273
384,Mystery of the Fossils,,Original,JAPANESE,"Sat, 21 Jun 1997 00:00:00 GMT",48,295.1196111111111,6.148325231481482
385,Pokémon Jungle,,Original,JAPANESE,"Wed, 05 Mar 1997 00:00:00 GMT",48,299.5664916703667,6.240968576465973
386,Expansion Pack,,Original,JAPANESE,"Sun, 20 Oct 1996 00:00:00 GMT",102,831.6429520065122,8.153362274573649
470,Unnumbered Promos,,Original,JAPANESE,"Tue, 01 Oct 1996 00:00:00 GMT",6,571.6364285714285,95.27273809523808
